A. Vellalapatti
A.Thirumuruganpoondi
A.Vellalapatti
Aadityana
Aakera
Aali
Aalo
Aamadi
Aambaliyasan
Aantaliya
Aarambhada
Abdu Rahiman Nagar
Abhanpur
Abhayapuri
Abhirampur
Abiramam
Abohar
Abrama
Abu Road
Abupur
Achabal
Achalganj
Achalpur
Achampet
Achampudur
Acharapakkam
Acharipallam
Achhabal
Achhalda
Achhnera
Achipatti
Adaikkakuzhi
Adalaj
Adampur
Adari
Adat
Adbhar
Addur
Adichanalloor
Adikaratti
Adilabad
Adinad
Adiramapattinam
Adityapatna
Adityapur
Adiyanuthu
Adoni
Adoor
Adra
Aduthurai
Aduthurai alias Maruthuvakudi
Adyar
Afzalgarh
Afzalpur
Agar
Agaram
Agartala
Agarwal Mandi
Agastheeswaram
Agastinuagan
Agatti
Agra
Agra Cantonment
Aheri
Ahirkhedi
Ahiwara
Ahmadabad
Ahmadabad Cantonment
Ahmadnagar
Ahmadnagar Cantonment
Ahmadpur
Ahmedabad
Ahmedabad Cantonment
Ahmedgarh
Ahore
Ahrauli Shekh
Ahraura
Ahwa
Aiho
Ailam
Ailum
Aimanam
Air Force Area
Aishmuquam
Aistala
Aizawl
Ajaigarh
Ajanur
Ajeetgarh
Ajhuwa
Ajitpur
Ajmer
Ajnala
Ajodhya Nagar
Ajodhyanagar
Ajra
Akalgarh
Akaltara
Akathiyoor
Akbarpur
Akdoni Khurd
Akedadoongar
Akhnoor
Akkalkot
Akkalkuwa
Akkarampalle
Akkayapalle
Aklera
Akluj
Akoda
Akodia
Akola
Akot
Ala
Alagappapuram
Alagdiha
Alamathi
Alamcode
Alamelumangapuram
Alampalayam
Alampur
Aland
Alandi
Alandur
Alang
Alang-Sosiya
Alangad
Alanganallur
Alangayam
Alangudi
Alangulam
Alanthurai
Alapakkam
Alappuzha
Alathur
Alaudia
Alawalpur
Aldona
Alevoor
Alhaipur
Alhoran
Ali Pur
Alibag
Aliganj
Aligarh
Alikherva
Alikhoja
Alipukur
Alipur
Alipurduar
Alipurduar Railway Junction
Alipurduar Rly.Jnc.
Alirajpur
Allahabad
Allahabad Cantonment
Allahganj
Allapur
Allapuram
Allipur
Allipura
Almaspur
Almora
